ExplAIn: Explanatory artificial intelligence for diabetic retinopathy diagnosis,https://www.sciencedirect.com/science/article/pii/S136184152100164X,"G Quellec, H Al Hajj, M Lamard, PH Conze… - Medical Image …, 2021 - Elsevier"
Diagnostic accuracy of community-based diabetic retinopathy screening with an offline artificial intelligence system on a smartphone,https://jamanetwork.com/journals/jamaophthalmology/article-abstract/2747315,"S Natarajan, A Jain, R Krishnan, A Rogye… - JAMA …, 2019 - jamanetwork.com"
Artificial intelligence screening for diabetic retinopathy: the real-world emerging application,https://link.springer.com/article/10.1007/s11892-019-1189-3,"V Bellemo, G Lim, TH Rim, GSW Tan… - Current Diabetes …, 2019 - Springer"
Automatic grading system for diabetic retinopathy diagnosis using deep learning artificial intelligence software,https://www.tandfonline.com/doi/abs/10.1080/02713683.2020.1764975,"XN Wang, L Dai, ST Li, HY Kong, B Sheng… - Current Eye …, 2020 - Taylor & Francis"
Progress of artificial intelligence in diabetic retinopathy screening,https://onlinelibrary.wiley.com/doi/abs/10.1002/dmrr.3414,"YL Wang, JY Yang, JY Yang, XY Zhao… - Diabetes/Metabolism …, 2021 - Wiley Online Library"
Validation of automated screening for referable diabetic retinopathy with an autonomous diagnostic artificial intelligence system in a Spanish population,https://journals.sagepub.com/doi/abs/10.1177/1932296820906212,"A Shah, W Clarida, R Amelon… - Journal of diabetes …, 2021 - journals.sagepub.com"
Diagnostic accuracy of diabetic retinopathy grading by an artificial intelligence-enabled algorithm compared with a human standard for wide-field true-colour confocal …,https://bjo.bmj.com/content/105/2/265.abstract,"A Olvera-Barrios, TFC Heeren, K Balaskas… - British Journal of …, 2021 - bjo.bmj.com"
"Medios–An offline, smartphone-based artificial intelligence algorithm for the diagnosis of diabetic retinopathy",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7003589/,"B Sosale, AR Sosale, H Murthy… - Indian Journal of …, 2020 - ncbi.nlm.nih.gov"
Artificial intelligence-based screening for diabetic retinopathy at community hospital,https://www.nature.com/articles/s41433-019-0562-4,"J He, T Cao, F Xu, S Wang, H Tao, T Wu, L Sun, J Chen - Eye, 2020 - nature.com"
Efficacy of artificial intelligence-based screening for diabetic retinopathy in type 2 diabetes mellitus patients,https://www.sciencedirect.com/science/article/pii/S016882272200002X,"X Pei, X Yao, Y Yang, H Zhang, M Xia, R Huang… - Diabetes Research and …, 2022 - Elsevier"
Low-shot deep learning of diabetic retinopathy with potential applications to address artificial intelligence bias in retinal diagnostics and rare ophthalmic diseases,https://jamanetwork.com/journals/jamaophthalmology/article-abstract/2770184,"P Burlina, W Paul, P Mathew, N Joshi… - JAMA …, 2020 - jamanetwork.com"
Feasibility and patient acceptability of a novel artificial intelligence-based screening model for diabetic retinopathy at endocrinology outpatient services: a pilot …,https://www.nature.com/articles/s41598-018-22612-2,"S Keel, PY Lee, J Scheetz, Z Li, MA Kotowicz… - Scientific reports, 2018 - nature.com"
Artificial intelligence on diabetic retinopathy diagnosis: an automatic classification method based on grey level co-occurrence matrix and naive Bayesian …,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6629792/,"K Cao, J Xu, WQ Zhao - International journal of ophthalmology, 2019 - ncbi.nlm.nih.gov"
"Automated and computer-assisted detection, classification, and diagnosis of diabetic retinopathy",https://www.liebertpub.com/doi/abs/10.1089/tmj.2020.0008,"MD Abràmoff, T Leng, DSW Ting, K Rhee… - Telemedicine and e …, 2020 - liebertpub.com"
Artificial intelligence in diabetic retinopathy: A natural step to the future,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6611318/,"SK Padhy, B Takkar, R Chawla… - Indian journal of …, 2019 - ncbi.nlm.nih.gov"
Artificial intelligence in diabetic eye disease screening,https://journals.lww.com/apjoo/Fulltext/2019/03000/Artificial_Intelligence_in_Diabetic_Eye_Disease.8.aspx,"CY Cheung, F Tang, DSW Ting… - The Asia-Pacific …, 2019 - journals.lww.com"
Detection and Classification of Diabetic Retinopathy Using Artificial Intelligence Algorithms,https://ieeexplore.ieee.org/abstract/document/9811197/,"D Rahhal, R Alhamouri, I Albataineh… - … on Information and …, 2022 - ieeexplore.ieee.org"
"Simple, mobile-based artificial intelligence algorithm in the detection of diabetic retinopathy (SMART) study",https://drc.bmj.com/content/8/1/e000892.abstract,"B Sosale, SR Aravind, H Murthy, S Narayana… - BMJ Open Diabetes …, 2020 - drc.bmj.com"
Artificial intelligence for diabetic retinopathy,https://medcentral.net/doi/abs/10.1097/CM9.0000000000001816,"S Li, R Zhao, H Zou - Chinese Medical Journal, 2022 - medcentral.net"
… of deep neural network-based artificial intelligence method in diabetic retinopathy screening: a systematic review and meta-analysis of diagnostic test …,https://eje.bioscientifica.com/view/journals/eje/183/1/EJE-19-0968.xml,"S Wang, Y Zhang, S Lei, H Zhu, J Li… - European Journal …, 2020 - eje.bioscientifica.com"
Artificial intelligence using deep learning to screen for referable and vision-threatening diabetic retinopathy in Africa: a clinical validation study,https://www.sciencedirect.com/science/article/pii/S2589750019300044,"V Bellemo, ZW Lim, G Lim, QD Nguyen, Y Xie… - The Lancet Digital …, 2019 - Elsevier"
Artificial intelligence for diabetic retinopathy screening: a review,https://www.nature.com/articles/s41433-019-0566-0,"A Grzybowski, P Brona, G Lim, P Ruamviboonsuk… - Eye, 2020 - nature.com"
Deep learning based computer-aided diagnosis systems for diabetic retinopathy: A survey,https://www.sciencedirect.com/science/article/pii/S0933365718307607,"N Asiri, M Hussain, F Al Adel, N Alzaidi - Artificial intelligence in medicine, 2019 - Elsevier"
Evaluation of artificial intelligence–based grading of diabetic retinopathy in primary care,https://jamanetwork.com/journals/jamanetworkopen/article-abstract/2703944,"Y Kanagasingam, D Xiao, J Vignarajan… - JAMA network …, 2018 - jamanetwork.com"
Prospective evaluation of an artificial intelligence-enabled algorithm for automated diabetic retinopathy screening of 30 000 patients,https://bjo.bmj.com/content/105/5/723.abstract,"P Heydon, C Egan, L Bolter, R Chambers… - British Journal of …, 2021 - bjo.bmj.com"
"The role of telemedicine, in-home testing and artificial intelligence to alleviate an increasingly burdened healthcare system: Diabetic retinopathy",https://link.springer.com/article/10.1007/s40123-021-00353-2,"J Pieczynski, P Kuklo, A Grzybowski - Ophthalmology and Therapy, 2021 - Springer"
Diabetic retinopathy detection through artificial intelligent techniques: a review and open issues,https://link.springer.com/article/10.1007/s11042-018-7044-8,"U Ishtiaq, S Abdul Kareem, ERMF Abdullah… - Multimedia Tools and …, 2020 - Springer"
Artificial intelligence for teleophthalmology-based diabetic retinopathy screening in a national programme: an economic analysis modelling study,https://www.sciencedirect.com/science/article/pii/S2589750020300601,"Y Xie, QD Nguyen, H Hamzah, G Lim, V Bellemo… - The Lancet Digital …, 2020 - Elsevier"
Automated diabetic retinopathy detection in smartphone-based fundus photography using artificial intelligence,https://www.nature.com/articles/s41433-018-0064-9,"R Rajalakshmi, R Subashini, RM Anjana, V Mohan - Eye, 2018 - nature.com"
Evaluation of a novel artificial intelligence-based screening system for diabetic retinopathy in community of China: a real-world study,https://link.springer.com/article/10.1007/s10792-020-01685-x,"S Ming, K Xie, X Lei, Y Yang, Z Zhao, S Li, X Jin… - International …, 2021 - Springer"
Automated identification of diabetic retinopathy using deep learning,https://www.sciencedirect.com/science/article/pii/S0161642016317742,"R Gargeya, T Leng - Ophthalmology, 2017 - Elsevier"
Diagnosis of diabetic retinopathy using deep neural networks,https://ieeexplore.ieee.org/abstract/document/8581492/,"Z Gao, J Li, J Guo, Y Chen, Z Yi, J Zhong - IEEE Access, 2018 - ieeexplore.ieee.org"
Diagnosis of diabetic retinopathy using machine learning classification algorithm,https://ieeexplore.ieee.org/abstract/document/7877439/,"K Bhatia, S Arora, R Tomar - 2016 2nd international conference …, 2016 - ieeexplore.ieee.org"
